work_id,mp_id,state,district,ia_id,category,scale,unit,latitude,longitude,recommended_date,recommended_amount,sanction_date,sanctioned_amount,expected_duration_days,status,completion_date,work_description
W00020,MP036,Maharashtra,Nashik,IA038,Health Sub-Centre Upgrade,1.0,unit,16.79922,79.11126,2023-11-26,1691141.84,2024-01-19,1598252.2,210,Completed,2024-06-20,Health Sub-Centre Upgrade at Nashik constituency site 19
W00021,MP008,West Bengal,Howrah,IA058,Drinking Water Facility,2.14,unit,22.02421,72.76083,2025-02-25,2009647.38,2024-08-07,1988981.0,150,In Progress,,Drinking Water Facility at Howrah constituency site 20
W00022,MP015,West Bengal,Malda,IA051,Community Hall,1.0,unit,17.25571,82.90717,2023-08-20,4319425.28,2023-09-04,4328415.87,240,Completed,2024-05-20,Community Hall at Malda constituency site 21
W00023,MP019,Maharashtra,Nashik,IA027,Community Hall,1.0,unit,16.89722,79.19844,2024-06-21,2629346.96,2024-07-31,2593166.46,240,Completed,2025-06-02,Community Hall at Nashik constituency site 22
W00024,MP011,Bihar,Muzaffarpur,IA032,Health Sub-Centre Upgrade,1.0,unit,27.42924,82.08603,2025-02-04,1635582.52,2025-03-01,1618935.97,210,Completed,2025-09-27,Health Sub-Centre Upgrade at Muzaffarpur constituency site 23
W00025,MP011,Bihar,Muzaffarpur,IA032,Health Sub-Centre Upgrade,1.0,unit,27.50446,82.05094,2025-10-17,1711509.2,2025-11-21,1702759.58,210,Completed,2026-05-05,Health Sub-Centre Upgrade at Muzaffarpur constituency site 24
W00026,MP013,Uttar Pradesh,Gorakhpur,IA046,Road Construction (per km),4.29,km,16.35687,87.68281,2023-06-25,8061642.66,2023-07-19,8171433.91,270,Completed,2024-03-22,Road Construction (per km) at Gorakhpur constituency site 25
W00027,MP035,West Bengal,Howrah,IA022,Drinking Water Facility,1.31,unit,22.14944,72.78253,2025-04-01,1077207.94,2025-04-16,981405.52,150,Completed,2025-08-23,Drinking Water Facility at Howrah constituency site 26
W00028,MP007,Maharashtra,Nagpur,IA001,Public Toilet Complex,2.28,unit,24.55713,85.06397,2024-05-29,1015399.29,2024-07-11,1025897.86,120,In Progress,,Public Toilet Complex at Nagpur constituency site 27
W00029,MP030,Bihar,Muzaffarpur,IA032,Health Sub-Centre Upgrade,1.0,unit,27.28851,82.1832,2024-10-02,1563261.95,2024-11-03,1542507.98,210,Completed,2025-06-14,Health Sub-Centre Upgrade at Muzaffarpur constituency site 28
W00030,MP030,Bihar,Muzaffarpur,IA032,Community Hall,1.0,unit,27.41156,82.13253,2025-02-21,3689980.26,2025-03-14,3760547.91,240,Completed,2025-06-18,Community Hall at Muzaffarpur constituency site 29
W00031,MP002,West Bengal,Howrah,IA037,Community Hall,1.0,unit,21.96078,72.71276,2024-06-19,3424724.82,2024-08-01,3408369.89,240,Completed,2025-05-07,Community Hall at Howrah constituency site 30
W00032,MP034,Uttar Pradesh,Gorakhpur,IA060,Health Sub-Centre Upgrade,1.0,unit,16.51778,87.56218,2025-07-20,1583277.92,2025-08-20,6135844.04,210,Completed,2026-01-30,Health Sub-Centre Upgrade at Gorakhpur constituency site 31
W00033,MP008,West Bengal,Howrah,IA037,Drainage / Sewage Line (per km),0.78,km,21.98526,72.64316,2024-03-12,1209960.19,2024-03-31,1204165.14,180,Completed,2024-07-23,Drainage / Sewage Line (per km) at Howrah constituency site 32
W00034,MP033,Uttar Pradesh,Meerut,IA040,Community Hall,1.0,unit,27.95743,83.2789,2025-05-09,2888974.56,2025-06-28,2997133.43,240,In Progress,,Community Hall at Meerut constituency site 33
W00035,MP001,West Bengal,Malda,IA030,Road Construction (per km),3.8,km,17.45524,83.07417,2023-08-03,5874234.64,2023-09-14,5915727.01,270,Completed,2024-06-26,Road Construction (per km) at Malda constituency site 34
W00036,MP018,Bihar,Gaya,IA049,Street Lighting (per 50 units),1.37,batch,23.30829,73.16448,2024-10-08,695635.33,2024-11-25,684771.14,90,Completed,2025-03-06,Street Lighting (per 50 units) at Gaya constituency site 35
W00037,MP015,West Bengal,Malda,IA050,Community Hall,1.0,unit,17.27611,82.79341,2024-11-29,3727275.28,2024-12-31,3777380.97,240,Completed,2025-06-26,Community Hall at Malda constituency site 36
W00038,MP003,Bihar,Patna,IA023,Street Lighting (per 50 units),3.6,batch,21.57156,75.67237,2024-06-04,1827541.1,2024-07-24,1840789.56,90,Completed,2024-10-12,Street Lighting (per 50 units) at Patna constituency site 37
W00039,MP014,Maharashtra,Pune,IA003,Health Sub-Centre Upgrade,1.0,unit,20.4833,86.93403,2025-05-06,1497577.15,2025-06-29,1558797.02,210,In Progress,,Health Sub-Centre Upgrade at Pune constituency site 38
W00040,MP009,Bihar,Muzaffarpur,IA032,Drinking Water Facility,1.79,unit,27.28994,82.05918,2024-11-22,1555667.38,2025-01-15,1503705.54,150,Completed,2025-04-18,Drinking Water Facility at Muzaffarpur constituency site 39
W00041,MP034,Uttar Pradesh,Gorakhpur,IA004,Drainage / Sewage Line (per km),1.4,km,16.53729,87.60907,2023-08-09,1926600.84,2023-09-16,1826571.44,180,Completed,2024-03-06,Drainage / Sewage Line (per km) at Gorakhpur constituency site 40
W00042,MP003,Bihar,Patna,IA023,Drinking Water Facility,1.04,unit,21.62731,75.77356,2023-11-08,838388.61,2024-01-05,868885.47,150,Completed,2024-06-02,Drinking Water Facility at Patna constituency site 41
W00043,MP038,Tamil Nadu,Coimbatore,IA055,Drinking Water Facility,1.47,unit,29.6332,86.31712,2025-12-08,1066498.08,2026-01-31,1049773.73,150,Completed,2026-07-10,Drinking Water Facility at Coimbatore constituency site 42
W00044,MP011,Bihar,Muzaffarpur,IA032,Community Hall,1.0,unit,27.49965,82.08812,2023-06-06,4500692.96,2023-07-14,4553040.94,240,In Progress,,Community Hall at Muzaffarpur constituency site 43
W00045,MP026,Maharashtra,Nagpur,IA016,Street Lighting (per 50 units),3.71,batch,24.70388,85.3008,2024-08-27,2109693.96,2024-09-15,2159744.44,90,Completed,2024-12-21,Street Lighting (per 50 units) at Nagpur constituency site 44
W00046,MP003,Bihar,Patna,IA023,Drainage / Sewage Line (per km),0.58,km,21.63774,75.64063,2026-02-14,735761.35,2026-02-26,714491.11,180,In Progress,,Drainage / Sewage Line (per km) at Patna constituency site 45
W00047,MP033,Uttar Pradesh,Meerut,IA040,Public Toilet Complex,1.77,unit,27.81962,83.12614,2023-08-01,896780.01,2023-09-24,872282.45,120,Completed,2024-02-10,Public Toilet Complex at Meerut constituency site 46
W00048,MP017,Uttar Pradesh,Sitapur,IA017,Community Hall,1.0,unit,26.71166,78.9502,2023-04-02,2989325.81,2023-04-13,3050823.63,240,Completed,2024-02-14,Community Hall at Sitapur constituency site 47
W00049,MP006,Bihar,Muzaffarpur,IA032,School Building Renovation,1.23,unit,27.40273,82.17007,2023-12-27,1526051.81,2024-02-21,1473853.47,200,Completed,2024-09-10,School Building Renovation at Muzaffarpur constituency site 48
W00050,MP023,Tamil Nadu,Madurai,IA031,Road Construction (per km),1.35,km,26.29379,77.69316,2023-04-11,2665323.62,2023-04-28,2485632.68,270,Completed,2023-11-15,Road Construction (per km) at Madurai constituency site 49
W00051,MP026,Maharashtra,Nashik,IA048,Health Sub-Centre Upgrade,1.0,unit,17.04734,79.19254,2025-02-06,1528630.39,2025-04-06,1529155.54,210,In Progress,,Health Sub-Centre Upgrade at Nashik constituency site 50
W00052,MP039,Bihar,Gaya,IA036,Drinking Water Facility,1.64,unit,23.26409,72.89453,2023-08-02,1589290.63,2023-09-11,1648873.07,150,Completed,2024-02-20,Drinking Water Facility at Gaya constituency site 51
W00053,MP010,Bihar,Gaya,IA042,Street Lighting (per 50 units),3.18,batch,23.43581,73.04925,2023-09-29,2293068.73,2023-10-24,2386572.32,90,Completed,2024-01-22,Street Lighting (per 50 units) at Gaya constituency site 52
W00054,MP027,Uttar Pradesh,Sitapur,IA029,Street Lighting (per 50 units),2.52,batch,26.49737,79.14129,2024-01-16,1275646.8,2024-01-26,1272595.6,90,Completed,2024-04-25,Street Lighting (per 50 units) at Sitapur constituency site 53
W00055,MP029,Bihar,Patna,IA023,Community Hall,1.0,unit,21.75207,75.49125,2024-01-25,2974867.47,2024-02-10,3009786.29,240,Completed,2024-12-05,Community Hall at Patna constituency site 54
W00056,MP037,Bihar,Muzaffarpur,IA032,Drinking Water Facility,2.22,unit,27.48223,82.12668,2024-10-27,1738172.37,2024-11-25,1757949.99,150,In Progress,,Drinking Water Facility at Muzaffarpur constituency site 55
W00057,MP015,West Bengal,Malda,IA051,School Building Renovation,1.01,unit,17.4312,82.8973,2024-04-27,1127951.08,2024-06-02,1110897.89,200,Completed,2024-12-31,School Building Renovation at Malda constituency site 56
W00058,MP023,Tamil Nadu,Madurai,IA044,Community Hall,1.0,unit,26.33502,77.67751,2024-04-10,3011926.6,2024-05-13,2843694.38,240,Completed,2025-03-21,Community Hall at Madurai constituency site 57
W00059,MP018,Bihar,Gaya,IA049,Drainage / Sewage Line (per km),0.58,km,23.19876,72.93242,2024-12-15,774991.65,2025-01-28,754198.33,180,Completed,2025-10-17,Drainage / Sewage Line (per km) at Gaya constituency site 58
W00060,MP040,Bihar,Gaya,IA025,Drainage / Sewage Line (per km),2.24,km,23.3431,72.99384,2025-02-17,3100889.85,2025-03-18,3134888.73,180,In Progress,,Drainage / Sewage Line (per km) at Gaya constituency site 59
W00061,MP036,Maharashtra,Nashik,IA027,Road Construction (per km),2.2,km,16.97707,79.15804,2023-11-02,4092379.27,2023-12-20,4133702.05,270,Completed,2024-10-29,Road Construction (per km) at Nashik constituency site 60
W00062,MP038,Tamil Nadu,Coimbatore,IA024,Road Construction (per km),4.46,km,29.55102,86.21773,2024-09-05,7359903.9,2024-09-25,7063555.49,270,Completed,2025-07-10,Road Construction (per km) at Coimbatore constituency site 61
W00063,MP035,West Bengal,Howrah,IA013,Street Lighting (per 50 units),2.49,batch,22.11381,72.82139,2023-12-13,1142863.73,2024-01-04,1135287.66,90,In Progress,,Street Lighting (per 50 units) at Howrah constituency site 62
W00064,MP030,Bihar,Gaya,IA049,Road Construction (per km),1.12,km,23.35383,73.03381,2023-11-30,2317177.67,2024-01-06,2143271.18,270,Completed,2024-09-04,Road Construction (per km) at Gaya constituency site 63
W00065,MP001,West Bengal,Malda,IA019,Road Construction (per km),3.13,km,17.28576,83.0068,2025-10-19,5051004.07,2025-12-04,4818308.04,270,Completed,2026-08-21,Road Construction (per km) at Malda constituency site 64
W00066,MP001,West Bengal,Malda,IA030,Drainage / Sewage Line (per km),2.72,km,17.28837,82.91376,2024-05-26,3224454.57,2024-06-18,3120345.45,180,Completed,2024-11-17,Drainage / Sewage Line (per km) at Malda constituency site 65
W00067,MP024,Maharashtra,Pune,IA003,Public Toilet Complex,1.68,unit,20.46038,86.96021,2025-05-28,804028.38,2025-06-19,758661.92,120,Completed,2025-10-20,Public Toilet Complex at Pune constituency site 66
W00068,MP025,Bihar,Patna,IA023,Health Sub-Centre Upgrade,1.0,unit,21.5389,75.77147,2025-09-20,1679448.12,2025-10-21,1683262.82,210,In Progress,,Health Sub-Centre Upgrade at Patna constituency site 67
W00069,MP024,Maharashtra,Nagpur,IA001,Community Hall,1.0,unit,24.60446,85.19664,2025-11-13,3463091.77,2025-11-24,3553059.63,240,In Progress,,Community Hall at Nagpur constituency site 68
W00070,MP036,Maharashtra,Nashik,IA048,Health Sub-Centre Upgrade,1.0,unit,16.91233,79.10206,2024-11-03,1037325.88,2024-11-20,923788.09,210,Completed,2025-07-13,Health Sub-Centre Upgrade at Nashik constituency site 69
W00071,MP024,Maharashtra,Nagpur,IA035,Road Construction (per km),4.08,km,24.78513,85.1456,2023-05-30,9320640.81,2023-07-16,9434735.57,270,Completed,2024-04-03,Road Construction (per km) at Nagpur constituency site 70
W00072,MP008,West Bengal,Howrah,IA056,Drinking Water Facility,1.12,unit,21.96868,72.82746,2025-08-21,1119810.31,2025-09-06,1110309.99,150,Completed,2025-12-27,Drinking Water Facility at Howrah constituency site 71
W00073,MP004,Bihar,Muzaffarpur,IA032,Drinking Water Facility,2.2,unit,27.31767,82.16003,2025-03-23,2085449.9,2025-05-02,1989683.0,150,Completed,2025-10-13,Drinking Water Facility at Muzaffarpur constituency site 72
W00074,MP011,Bihar,Muzaffarpur,IA032,Drinking Water Facility,2.5,unit,27.35524,82.24086,2025-12-03,2413164.35,2026-01-04,2378212.79,150,Completed,2026-08-09,Drinking Water Facility at Muzaffarpur constituency site 73
W00075,MP019,Maharashtra,Nashik,IA048,Drainage / Sewage Line (per km),2.24,km,16.96582,79.15891,2024-12-06,3181601.69,2025-01-21,3260227.32,180,Completed,2025-07-01,Drainage / Sewage Line (per km) at Nashik constituency site 74
W00076,MP037,Bihar,Muzaffarpur,IA032,Community Hall,1.0,unit,27.36246,82.01594,2025-06-11,3342566.59,2025-07-24,3380555.78,240,In Progress,,Community Hall at Muzaffarpur constituency site 75
W00077,MP038,Tamil Nadu,Coimbatore,IA015,Community Hall,1.0,unit,29.6836,86.20066,2025-07-17,3384982.79,2025-08-02,3447913.2,240,Completed,2026-05-05,Community Hall at Coimbatore constituency site 76
W00078,MP021,West Bengal,Malda,IA028,Health Sub-Centre Upgrade,1.0,unit,17.36993,82.78577,2023-06-10,1599110.47,2024-05-21,1656085.23,210,In Progress,,Health Sub-Centre Upgrade at Malda constituency site 77
W00079,MP037,Bihar,Muzaffarpur,IA032,Drinking Water Facility,2.87,unit,27.41145,82.14626,2024-07-30,2792967.33,2024-08-25,2874568.96,150,Completed,2024-12-24,Drinking Water Facility at Muzaffarpur constituency site 78
W00080,MP028,Tamil Nadu,Salem,IA006,Drainage / Sewage Line (per km),2.58,km,26.66998,75.10114,2023-04-23,3801635.31,2023-06-09,3778361.48,180,Completed,2024-02-10,Drainage / Sewage Line (per km) at Salem constituency site 79
W00081,MP010,Bihar,Gaya,IA025,Drinking Water Facility,2.17,unit,23.42697,72.92141,2024-01-08,1916982.36,2024-02-01,1890730.95,150,Completed,2024-06-27,Drinking Water Facility at Gaya constituency site 80
W00082,MP025,Bihar,Patna,IA023,Public Toilet Complex,1.28,unit,21.80078,75.54358,2025-01-22,562391.26,2025-02-06,558522.69,120,Completed,2025-06-12,Public Toilet Complex at Patna constituency site 81
W00083,MP035,West Bengal,Malda,IA043,Drinking Water Facility,1.14,unit,17.42975,82.97784,2026-03-09,1007378.39,2026-04-17,1009249.59,150,Completed,2026-07-23,Drinking Water Facility at Malda constituency site 82
W00084,MP023,Tamil Nadu,Coimbatore,IA015,Community Hall,1.0,unit,29.71033,86.29484,2024-02-18,3503572.36,2024-04-02,3522529.91,240,Completed,2025-03-02,Community Hall at Coimbatore constituency site 83
W00085,MP035,West Bengal,Howrah,IA045,Drinking Water Facility,1.92,unit,22.08704,72.80054,2023-11-16,1855339.61,2023-11-28,1884264.01,150,Completed,2024-03-27,Drinking Water Facility at Howrah constituency site 84
W00086,MP035,West Bengal,Malda,IA050,Community Hall,1.0,unit,17.42802,82.80763,2025-06-28,3016055.49,2025-07-19,3025287.45,240,Completed,2026-02-22,Community Hall at Malda constituency site 85
W00087,MP028,Tamil Nadu,Madurai,IA031,Road Construction (per km),0.5,km,26.46824,77.5728,2025-10-18,819020.16,2025-12-05,814494.85,270,In Progress,,Road Construction (per km) at Madurai constituency site 86
W00088,MP026,Maharashtra,Nagpur,IA016,Health Sub-Centre Upgrade,1.0,unit,24.58524,85.2399,2024-11-11,1865287.86,2024-12-12,1937387.44,210,Completed,2025-07-05,Health Sub-Centre Upgrade at Nagpur constituency site 87
W00089,MP040,Bihar,Gaya,IA042,School Building Renovation,1.22,unit,23.22169,72.9237,2025-03-11,1368575.75,2025-04-27,1396909.55,200,Completed,2026-01-03,School Building Renovation at Gaya constituency site 88
W00090,MP025,Bihar,Muzaffarpur,IA032,Community Hall,1.0,unit,27.55718,82.21846,2025-12-31,3793083.07,2026-01-29,3793235.54,240,Completed,2026-07-02,Community Hall at Muzaffarpur constituency site 89
W00091,MP039,Bihar,Gaya,IA025,Street Lighting (per 50 units),3.2,batch,23.17677,72.88594,2025-06-25,1693019.59,2025-08-01,1817833.6,90,Completed,2025-10-04,Street Lighting (per 50 units) at Gaya constituency site 90
W00092,MP034,Uttar Pradesh,Gorakhpur,IA052,Drinking Water Facility,2.52,unit,16.34391,87.61658,2024-07-02,1832487.98,2024-07-29,1840658.7,150,Completed,2024-11-06,Drinking Water Facility at Gorakhpur constituency site 91
W00093,MP033,Uttar Pradesh,Meerut,IA047,Street Lighting (per 50 units),1.0,batch,27.99608,83.14889,2025-01-14,500900.1,2025-03-09,506390.42,90,In Progress,,Street Lighting (per 50 units) at Meerut constituency site 92
W00094,MP033,Uttar Pradesh,Meerut,IA040,Drinking Water Facility,2.17,unit,27.75875,83.07,2023-11-22,1665205.95,2023-12-17,1739386.82,150,Completed,2024-04-26,Drinking Water Facility at Meerut constituency site 93
W00095,MP029,Bihar,Patna,IA023,Community Hall,1.0,unit,21.68435,75.54742,2024-03-16,3130605.96,2024-04-21,3158547.65,240,In Progress,,Community Hall at Patna constituency site 94
W00096,MP018,Bihar,Gaya,IA011,Public Toilet Complex,1.23,unit,23.39508,73.11704,2023-07-27,404069.36,2023-08-26,420130.58,120,In Progress,,Public Toilet Complex at Gaya constituency site 95
W00097,MP040,Bihar,Gaya,IA049,Road Construction (per km),1.96,km,23.46239,73.02069,2023-07-04,3283870.6,2023-08-11,3339649.22,270,Completed,2024-05-12,Road Construction (per km) at Gaya constituency site 96
W00098,MP032,Tamil Nadu,Coimbatore,IA015,School Building Renovation,1.32,unit,29.5873,86.2475,2023-08-19,1701505.69,2023-10-17,1766689.4,200,Completed,2024-04-07,School Building Renovation at Coimbatore constituency site 0
W00099,MP008,West Bengal,Malda,IA021,Public Toilet Complex,1.78,unit,17.30285,82.97643,2026-01-16,651112.08,2026-02-08,680740.14,120,Completed,2026-05-17,Public Toilet Complex at Malda constituency site 1
W00100,MP001,West Bengal,Malda,IA050,Drinking Water Facility,1.19,unit,17.3331,83.00546,2024-09-30,1009023.48,2024-11-15,1011972.25,150,Completed,2025-04-09,Drinking Water Facility at Malda constituency site 2
W00101,MP038,Tamil Nadu,Madurai,IA031,Health Sub-Centre Upgrade,1.0,unit,26.39499,77.52379,2025-03-19,1895097.41,2025-05-15,1873780.7,210,Completed,2025-11-09,Health Sub-Centre Upgrade at Madurai constituency site 3
W00102,MP033,Uttar Pradesh,Meerut,IA018,Road Construction (per km),3.85,km,27.73064,83.24389,2023-04-30,5124916.23,2023-05-21,5247274.42,270,In Progress,,Road Construction (per km) at Meerut constituency site 4
W00103,MP014,Maharashtra,Pune,IA003,Drinking Water Facility,1.54,unit,20.57295,86.96782,2024-07-20,1312976.55,2024-09-06,1229108.95,150,In Progress,,Drinking Water Facility at Pune constituency site 5
W00104,MP017,Uttar Pradesh,Gorakhpur,IA026,Community Hall,1.0,unit,16.55734,87.64216,2024-05-31,2624551.09,2024-07-20,2683907.03,240,Completed,2025-05-29,Community Hall at Gorakhpur constituency site 6
W00105,MP012,Uttar Pradesh,Varanasi,IA057,Community Hall,1.0,unit,26.5294,84.43419,2023-08-08,3216452.14,2023-08-21,3271015.43,240,Completed,2024-05-09,Community Hall at Varanasi constituency site 7
W00106,MP014,Maharashtra,Pune,IA003,Health Sub-Centre Upgrade,1.0,unit,20.55052,86.83488,2023-09-26,1595728.42,2023-11-14,1606680.07,210,Completed,2024-03-19,Health Sub-Centre Upgrade at Pune constituency site 8
W00107,MP036,Maharashtra,Nashik,IA038,School Building Renovation,1.1,unit,17.06403,79.08042,2024-04-11,1458844.51,2024-04-30,1476874.58,200,In Progress,,School Building Renovation at Nashik constituency site 9
W00108,MP030,Bihar,Muzaffarpur,IA032,Street Lighting (per 50 units),2.29,batch,27.55211,81.96872,2023-11-10,1446380.84,2023-12-16,1401583.66,90,Completed,2024-02-27,Street Lighting (per 50 units) at Muzaffarpur constituency site 10
W00109,MP007,Maharashtra,Nagpur,IA001,Drainage / Sewage Line (per km),2.83,km,24.55473,85.17467,2025-12-24,3347787.49,2026-01-08,3420287.03,180,Completed,2026-06-14,Drainage / Sewage Line (per km) at Nagpur constituency site 11
W00110,MP033,Uttar Pradesh,Meerut,IA018,Public Toilet Complex,1.13,unit,27.81481,83.29721,2024-07-31,402739.58,2024-08-24,398152.14,120,In Progress,,Public Toilet Complex at Meerut constituency site 12
W00111,MP040,Bihar,Gaya,IA049,Street Lighting (per 50 units),3.93,batch,23.3325,73.03415,2024-05-01,2472557.8,2024-06-27,2470755.5,90,In Progress,,Street Lighting (per 50 units) at Gaya constituency site 13
W00112,MP038,Tamil Nadu,Coimbatore,IA024,Public Toilet Complex,1.91,unit,29.43743,86.16313,2024-09-10,842517.89,2024-10-03,844898.42,120,Completed,2025-02-10,Public Toilet Complex at Coimbatore constituency site 14
W00113,MP039,Bihar,Gaya,IA049,Drainage / Sewage Line (per km),0.39,km,23.32353,73.15195,2025-10-29,576284.16,2025-11-18,608480.89,180,Completed,2026-03-14,Drainage / Sewage Line (per km) at Gaya constituency site 15
W00114,MP033,Uttar Pradesh,Meerut,IA040,Drinking Water Facility,1.13,unit,27.89017,83.1957,2023-09-16,946137.3,2023-10-03,953400.99,150,Completed,2024-03-20,Drinking Water Facility at Meerut constituency site 16
W00115,MP038,Tamil Nadu,Coimbatore,IA015,Health Sub-Centre Upgrade,1.0,unit,29.69421,86.25339,2026-02-02,1436385.51,2026-03-07,1479282.74,210,In Progress,,Health Sub-Centre Upgrade at Coimbatore constituency site 17
W00116,MP002,West Bengal,Howrah,IA056,Health Sub-Centre Upgrade,1.0,unit,22.06737,72.60156,2023-10-08,1634812.33,2023-11-20,1675245.84,210,Completed,2024-06-02,Health Sub-Centre Upgrade at Howrah constituency site 18
W00117,MP016,West Bengal,Howrah,IA020,Health Sub-Centre Upgrade,1.0,unit,21.99668,72.69428,2024-09-26,1583977.83,2024-11-21,1443528.79,210,Completed,2025-05-15,Health Sub-Centre Upgrade at Howrah constituency site 19
W00118,MP017,Uttar Pradesh,Gorakhpur,IA046,Health Sub-Centre Upgrade,1.0,unit,16.40537,87.4781,2025-01-14,1655687.76,2025-03-14,1731010.3,210,Completed,2025-11-05,Health Sub-Centre Upgrade at Gorakhpur constituency site 20
W00119,MP017,Uttar Pradesh,Gorakhpur,IA052,Drainage / Sewage Line (per km),2.02,km,16.46146,87.66156,2024-07-12,3608388.55,2024-08-29,3801652.23,180,Completed,2025-01-23,Drainage / Sewage Line (per km) at Gorakhpur constituency site 21
W00120,MP029,Bihar,Patna,IA023,School Building Renovation,1.51,unit,21.72476,75.52515,2024-09-18,1532286.63,2024-10-20,1466683.17,200,Completed,2025-07-03,School Building Renovation at Patna constituency site 22
W00121,MP023,Tamil Nadu,Salem,IA006,Street Lighting (per 50 units),1.33,batch,26.6132,75.12302,2024-01-24,658464.47,2024-03-14,692161.78,90,Completed,2024-06-14,Street Lighting (per 50 units) at Salem constituency site 23
W00122,MP031,Uttar Pradesh,Gorakhpur,IA026,Street Lighting (per 50 units),2.07,batch,16.30088,87.62507,2025-08-26,1037367.63,2025-09-12,1042930.23,90,Completed,2025-11-16,Street Lighting (per 50 units) at Gorakhpur constituency site 24
